Title,Price,Brand,Size,Link,Likes,Dataid,MarketStatus,SearchDate,Images,SearchCount,Page,Upload_date
Top court Bleu Pimkie,2.8,Pimkie,M / IT 42 / EU 38,https://www.vinted.it/items/6880613866-top-court-bleu-pimkie?referrer=catalog,0,6880613866,On Sale,,https://images1.vinted.net/t/04_02581_bxaKZGdwpLAZ8brEMj2RUVMX/310x430/1755366617.webp?s=99c2575791c9c23cfa83996d90b701654aef4816,1,1,
Khaki top Luisa Cerano,12.25,Luisa Cerano,S / IT 40 / EU 36,https://www.vinted.it/items/6880613679-khaki-top-luisa-cerano?referrer=catalog,0,6880613679,On Sale,,https://images1.vinted.net/t/01_00fcd_KBj2XVEM2hgosevepF27aHz8/310x430/1755366615.webp?s=048e0b9e557758d372020f9e599e2e89f0e87293,1,1,
Haut Sandro,8.05,Sandro,M / IT 42 / EU 38,https://www.vinted.it/items/6880566828-haut-sandro?referrer=catalog,0,6880566828,On Sale,,https://images1.vinted.net/t/02_020c2_xEkFGLEkvSGZ5B9mubuQm5XV/310x430/1755366615.webp?s=dde5bd4b41a572c4c3b42e7873c9eff1ab445b03,1,1,
Bustier top rose Mango 🌸,23.8,Mango,L / IT 44 / EU 40,https://www.vinted.it/items/6880613804-bustier-top-rose-mango?referrer=catalog,0,6880613804,On Sale,,https://images1.vinted.net/t/02_00dc2_UmnykYCEjfAyeGkESbbmy3QZ/310x430/1755366617.webp?s=d6467ccb358d53fab398f5b4815c97062a5b722d,1,1,
Chemise,3.85,St Michael,XXXL / IT 50 / EU 46,https://www.vinted.it/items/6880613819-chemise?referrer=catalog,0,6880613819,On Sale,,https://images1.vinted.net/t/03_01e02_BKDpNUcPCNtbzTWKtsJAMJhn/310x430/1755366617.webp?s=416143f2e621599c966381b6f6ad9ecf94c30876,1,1,
Camisola com Gola Branca da Bershka,3.85,Bershka,XS / IT 38 / EU 34,https://www.vinted.it/items/6880613990-camisola-com-gola-branca-da-bershka?referrer=catalog,0,6880613990,On Sale,,https://images1.vinted.net/t/04_00448_JFLXXL5Y5DgeQfk4zbJVLJb9/310x430/1755366619.webp?s=0c2f5c64ed9ca93d45a4fa53af26900c0cf1e3e2,1,1,
Langärmeliges Tshirt,4.9,Zara,M / IT 42 / EU 38,https://www.vinted.it/items/6880613746-langarmeliges-tshirt?referrer=catalog,0,6880613746,On Sale,,https://images1.vinted.net/t/03_017e1_2LFBio2SdH76ZM8aAPAPswVy/310x430/1755366616.webp?s=5428277d6a03dd78575d57610acb097d0a8fd8cd,1,1,
Top court,5.95,Shein,S / IT 40 / EU 36,https://www.vinted.it/items/6880495535-top-court?referrer=catalog,0,6880495535,On Sale,,https://images1.vinted.net/t/03_00470_wwtPpurY12HoWzgyHXopJutr/310x430/1755365361.webp?s=d86c58c3f8d2f1cc00944364f55e437655f5acb5,1,1,
T-shirt rayé,7.0,Camaïeu,L / IT 44 / EU 40,https://www.vinted.it/items/6880613635-t-shirt-raye?referrer=catalog,0,6880613635,On Sale,,https://images1.vinted.net/t/01_0039f_tacBr33EDo5y4kJiyFpPSBRC/310x430/1755366615.webp?s=d52cd8d6cf25980ae075e2efd5e1087a104ad3e9,1,1,
Blouse femme,5.95,No brand,L / IT 44 / EU 40,https://www.vinted.it/items/6880614082-blouse-femme?referrer=catalog,0,6880614082,On Sale,,https://images1.vinted.net/t/04_01110_pN2U9ybhgadiymG3GrcrjLqH/310x430/1755366620.webp?s=e13581a8982a25293811a1b854e78d6494dd1086,1,1,
Camiseta mujer talla S (Mango),15.4,Mango,S / IT 40 / EU 36,https://www.vinted.it/items/6880612631-camiseta-mujer-talla-s-mango?referrer=catalog,12,6880612631,On Sale,,https://images1.vinted.net/t/01_00567_XoQRUDZJxXEv7zqFCgSYFyYs/310x430/1755366604.webp?s=b486ce0de17f72f5721e74ee5278773bc6cba9b4,1,1,
Petit haut / crop top,3.33,Shein,XL / IT 46 / EU 42,https://www.vinted.it/items/6880613459-petit-haut-crop-top?referrer=catalog,0,6880613459,On Sale,,https://images1.vinted.net/t/03_00d3b_zdNtcovLPHtbKCqcTFM5stRS/310x430/1755366613.webp?s=8c9ff48913d82faa7bf767da1558c911ffa85f47,1,1,
Camisole rétro en dentelle noire - S,30.1,Ombra,S / IT 40 / EU 36,https://www.vinted.it/items/6880613210-camisole-retro-en-dentelle-noire-s?referrer=catalog,0,6880613210,On Sale,,https://images1.vinted.net/t/03_00228_uaZsZva36EKGsGterFD2RFgP/310x430/1755366610.webp?s=aa7b61e9def88711ff881347a3e5443cbeef95e7,1,1,
Vintage Zara Satin Camisole mit feiner Spitze,11.2,Zara,S / IT 40 / EU 36,https://www.vinted.it/items/6880613580-vintage-zara-satin-camisole-mit-feiner-spitze?referrer=catalog,0,6880613580,On Sale,,https://images1.vinted.net/t/04_01a20_TmgnhAN4Tsuhpu4MXqf9464J/310x430/1755366614.webp?s=692c450b46bd957c5f27fc12d4ab11792d55778b,1,1,
Lot de 4 haut et un legging à fourrure + robe,5.43,Shein,L / IT 44 / EU 40,https://www.vinted.it/items/6880613463-lot-de-4-haut-et-un-legging-a-fourrure-robe?referrer=catalog,0,6880613463,On Sale,,https://images1.vinted.net/t/04_0103e_CF5pbGZwFRS9nnYDC7Uu4iZn/310x430/1755366613.webp?s=d3e5b4d6865a4dbb872973080006c31b285e5eee,1,1,
Camiseta Mini de chica,16.45,Mini,M / IT 42 / EU 38,https://www.vinted.it/items/6880613129-camiseta-mini-de-chica?referrer=catalog,0,6880613129,On Sale,,https://images1.vinted.net/t/03_0262d_cv3nX72SXVpc4Mzjk8swjqnn/310x430/1755366610.webp?s=a45f24a5b6887bf3f07b419ab6e7a9e83b1a5eb8,1,1,
Top Blusa Estiva Cropped fantasia Etnica Boho chic Indian design,16.45,Indian Design,Taglia unica,https://www.vinted.it/items/6880613083-top-blusa-estiva-cropped-fantasia-etnica-boho-chic-indian-design?referrer=catalog,0,6880613083,On Sale,,https://images1.vinted.net/t/01_013db_mC4dtj4W1PHAP9mjrMyNfpjy/310x430/1755366609.webp?s=178653797e02e9505ec2b66141967a40e20b090f,1,1,
Top blanc effet satin,11.2,Shein,M / IT 42 / EU 38,https://www.vinted.it/items/6880613560-top-blanc-effet-satin?referrer=catalog,0,6880613560,On Sale,,https://images1.vinted.net/t/02_00b61_945GBCWJ6zy1DtspY9KMCv36/310x430/1755366614.webp?s=282840ee4713f070eb2bdf9251145e5d25a9107a,1,1,
Camiseta de mnga corta Zara Talla M.,11.2,Zara,M / IT 42 / EU 38,https://www.vinted.it/items/6880612201-camiseta-de-mnga-corta-zara-talla-m?referrer=catalog,28,6880612201,On Sale,,https://images1.vinted.net/t/03_0109d_R7vFtRXZ2PQSGnx5NVisBJfp/310x430/1755366599.webp?s=e5526af6d5d83634a04ce8af6b91a5287dd150e2,1,1,
Camiseta Estilo Desigual,8.05,.laugised,M / IT 42 / EU 38,https://www.vinted.it/items/6880611941-camiseta-estilo-desigual?referrer=catalog,12,6880611941,On Sale,,https://images1.vinted.net/t/04_01c56_hnvbTDo5iFMMNf9rpPbp5avw/310x430/1755366596.webp?s=f0f4214f742fcebfcd7cb59b45f59c5af001e223,1,1,
süßes pailletten top,8.05,Top Vintage,S / IT 40 / EU 36,https://www.vinted.it/items/6880612883-susses-pailletten-top?referrer=catalog,0,6880612883,On Sale,,https://images1.vinted.net/t/02_010d5_ArtraYo3oNoaj4mHbcma7hA4/310x430/1755366607.webp?s=b8b1126e6429d3464b40ec2332f9ac0ace386709,1,1,
Body donna,2.8,Made In Italy,Taglia unica,https://www.vinted.it/items/6880613019-body-donna?referrer=catalog,0,6880613019,On Sale,,https://images1.vinted.net/t/02_0234b_MHsLWVep5ExE2UVMzo9zPTdp/310x430/1755366608.webp?s=0588874b296779daab640a31aa95a097de664a8a,1,1,
Poloshirt Gant  Damen,11.2,GANT,S / IT 40 / EU 36,https://www.vinted.it/items/6880613052-poloshirt-gant-damen?referrer=catalog,0,6880613052,On Sale,,https://images1.vinted.net/t/04_00649_RMCq99vSaStzW2YygSkF3MVG/310x430/1755366609.webp?s=9043e3d3be117add07a5b75b520f08aaa0581bac,1,1,
Camiseta verano,2.8,Verano,S / IT 40 / EU 36,https://www.vinted.it/items/6880607508-camiseta-verano?referrer=catalog,0,6880607508,On Sale,,https://images1.vinted.net/t/01_019bb_H2t34Hi4d9yAr7xGgbpLTmYb/310x430/1755366548.webp?s=30f3d13e228c03f1b912d3a6b53cdf52dda099f5,1,1,
