Title,Price,Brand,Size,Link,Likes,Dataid,MarketStatus,SearchDate,Images,SearchCount,Page
Claquettes neuves pointure 36,2.8,No brand,36,https://www.vinted.it/items/6537941778-claquettes-neuves-pointure-36?referrer=catalog,0,6537941778,,18/06/2025 21:01:49,,1,9
Chaussures compensées 39,11.2,PrettyLittleThing,39,https://www.vinted.it/items/6537947151-chaussures-compensees-39?referrer=catalog,1,6537947151,,18/06/2025 21:01:49,,1,9
Zapatos de tacon classics sandalia,5.95,Classics,36,https://www.vinted.it/items/6537946899-zapatos-de-tacon-classics-sandalia?referrer=catalog,0,6537946899,,18/06/2025 21:01:49,,1,9
Basket,16.45,Zara,36,https://www.vinted.it/items/6537946534-basket?referrer=catalog,0,6537946534,,18/06/2025 21:01:49,,1,9
Convers donna,63.7,Converse,39.5,https://www.vinted.it/items/6537946382-convers-donna?referrer=catalog,0,6537946382,,18/06/2025 21:01:49,,1,9
Sandales Zara,16.45,Zara,41,https://www.vinted.it/items/6537945988-sandales-zara?referrer=catalog,7,6537945988,,18/06/2025 21:01:49,,1,9
Scarpe zeppa alta nere rocco Barocco,11.2,Rocco Barocco,38,https://www.vinted.it/items/6537945838-scarpe-zeppa-alta-nere-rocco-barocco?referrer=catalog,0,6537945838,,18/06/2025 21:01:49,,1,9
Jolie petite sandale d'été,3.85,Girlhood,40,https://www.vinted.it/items/6537144503-jolie-petite-sandale-dete?referrer=catalog,0,6537144503,,18/06/2025 21:01:49,,1,9
Sandalo in pelle nero,37.45,Strategia,40,https://www.vinted.it/items/6537945834-sandalo-in-pelle-nero-rosa-bianco-con-fibbia-n-40?referrer=catalog,0,6537945834,,18/06/2025 21:01:49,,1,9
Santiag,7.53,Shein,38,https://www.vinted.it/items/6537945636-santiag-boot?referrer=catalog,13,6537945636,,18/06/2025 21:01:49,,1,9
Zapatillas casual unisex Saguaro Fern III Barefoot número 40 nuevos a estrenar,37.45,Saguaro,40,https://www.vinted.it/items/6537943993-zapatillas-casual-unisex-saguaro-fern-iii-barefoot-numero-40-nuevos-a-estrenar?referrer=catalog,51,6537943993,,18/06/2025 21:01:49,,1,9
Witte New Balance sneakers maat 39,79.45,New Balance,39,https://www.vinted.it/items/6537945629-witte-new-balance-sneakers-maat-39?referrer=catalog,8,6537945629,,18/06/2025 21:01:49,,1,9
Zapatillas El Naturalista,21.7,El Naturalista,38,https://www.vinted.it/items/6537945280-zapatillas-el-naturalista?referrer=catalog,1,6537945280,,18/06/2025 21:01:49,,1,9
Mooie Geox  Dandra instapper Respira zwart,42.65,Geox,40,https://www.vinted.it/items/6537945447-mooie-geox-dandra-instapper-respira-zwart?referrer=catalog,2,6537945447,,18/06/2025 21:01:49,,1,9
Chaussure à Talon Neuve Guess Pointure 38,41.65,GUESS,38,https://www.vinted.it/items/6537945320-chaussure-a-talon-neuve-guess-pointure-38?referrer=catalog,0,6537945320,,18/06/2025 21:01:49,,1,9
Barfußschuhe/Halbschuhe,84.7,Camper,38,https://www.vinted.it/items/6537945117-barfussschuhehalbschuhe?referrer=catalog,0,6537945117,,18/06/2025 21:01:49,,1,9
Sehr edler Zehentrenner,13.3,Jenny Fairy,36,https://www.vinted.it/items/6537944396-sehr-edler-zehentrenner?referrer=catalog,0,6537944396,,18/06/2025 21:01:49,,1,9
