ProductId,n,VariantsFound,VariantSilhouette
643,5,1,
644,5,1,
650,5,1,
656,4,1,
657,4,1,
660,14,1,
663,8,1,
664,4,1,
665,5,1,
666,7,1,
670,10,3,0.7628347277641296
671,4,1,
675,5,1,
676,9,1,
677,4,2,0.75
679,4,1,
685,4,1,
686,4,1,
690,4,1,
691,4,1,
693,6,2,0.8333333134651184
696,5,2,0.7493608593940735
697,4,1,
703,4,1,
704,16,4,0.542634129524231
706,6,2,0.9999997019767761
707,23,6,0.9307184815406799
708,208,21,0.6406030058860779
710,5,1,
715,55,14,0.7743822336196899
716,5,1,
717,14,5,0.9083709716796875
718,4,1,
720,5,2,0.9999995231628418
721,16,2,0.9862837791442871
723,14,4,0.752834141254425
724,5,1,
727,6,3,0.6666666865348816
729,5,1,
732,13,2,0.9076845645904541
736,4,1,
740,10,5,0.6031086444854736
749,8,2,0.9999997615814209
750,25,4,0.6656906008720398
751,4,1,
753,5,1,
762,7,1,
764,60,2,0.6417686939239502
765,5,1,
766,5,2,0.6782342791557312
767,4,2,0.5248192548751831
769,4,1,
771,18,3,0.7197593450546265
772,5,2,0.9016448259353638
773,4,1,
783,4,1,
798,10,3,0.8999994993209839
800,9,1,
801,4,1,
803,10,3,0.8319083452224731
804,6,2,0.8001719117164612
811,4,2,0.9999998807907104
812,4,1,
820,5,1,
826,19,2,0.8552820086479187
829,18,1,
830,7,1,
831,4,1,
832,6,2,0.8333333134651184
835,5,1,
836,10,1,
844,4,1,
851,8,1,
854,5,1,
856,6,2,0.9999997615814209
858,6,2,0.8333333134651184
871,5,2,0.7999998331069946
872,5,2,0.8351153135299683
877,10,1,
879,146,12,0.7400243282318115
880,207,18,0.5657257437705994
881,142,10,0.4839898645877838
882,6,3,0.7363408207893372
883,5,1,
884,11,2,0.7466781139373779
885,5,3,0.6000000238418579
890,4,1,
891,7,1,
892,4,2,0.75
895,4,1,
896,5,1,
903,9,2,0.8421752452850342
904,4,2,0.75
905,6,2,0.8333333134651184
907,5,1,
910,4,1,
913,4,1,
917,4,1,
922,4,2,0.9939643144607544
923,4,3,0.5
924,7,2,0.9999997019767761
928,5,2,0.9999996423721313
932,4,1,
933,5,1,
934,5,1,
935,5,1,
936,11,4,0.9999999403953552
938,4,1,
952,4,1,
953,4,2,0.75
954,7,1,
956,5,1,
958,8,2,1.0
959,5,1,
960,4,1,
963,7,1,
966,24,3,0.9583325386047363
969,4,1,
970,9,1,
980,4,1,
982,4,1,
985,4,1,
997,5,1,
998,44,7,0.6627622246742249
999,5,2,0.9581995010375977
1003,6,3,0.8246209621429443
1004,4,1,
1005,5,1,
1006,6,1,
1008,7,2,0.9999995827674866
1009,4,1,
1012,5,2,0.800000011920929
1021,5,1,
1025,4,2,0.75
1028,4,1,
1031,53,8,0.6269928812980652
1034,5,2,1.0
1039,4,1,
1042,14,5,0.904499351978302
1043,4,1,
1044,5,2,0.8809106945991516
1046,5,1,
1047,5,1,
1050,6,2,0.8567912578582764
1051,6,2,0.9999998211860657
1053,18,8,0.5915628671646118
1054,4,3,0.5
1059,4,1,
1062,12,3,0.9401184916496277
1063,6,1,
1065,4,1,
1069,4,1,
1071,5,3,0.7999998927116394
1074,4,1,
1075,5,1,
1076,33,2,0.9105290770530701
1080,6,2,0.8333333134651184
1081,5,1,
1083,4,1,
1084,25,6,0.5780113935470581
1088,4,1,
1089,5,1,
1091,34,2,0.8608987927436829
1093,10,3,0.9999998211860657
1094,12,2,0.9988017082214355
1095,12,2,0.9858196377754211
1097,21,5,0.7087132334709167
1098,8,1,
1099,4,1,
1100,5,1,
1102,10,2,0.9673434495925903
1105,5,1,
1107,7,1,
1108,5,1,
1112,6,3,0.530136227607727
1114,11,2,0.9710634350776672
1115,5,1,
1117,4,1,
1119,4,1,
1123,5,1,
1128,4,2,1.0
1134,5,2,0.800000011920929
1138,4,1,
1140,17,1,
1141,4,2,0.75
1142,7,2,0.8075536489486694
1149,5,1,
1151,5,1,
1152,9,3,0.7904103994369507
1153,4,1,
1162,11,1,
1167,74,10,0.7749872803688049
1169,20,8,0.7419877648353577
1172,8,2,1.0
1173,16,3,0.9109801054000854
1176,18,4,0.708043098449707
1181,18,4,0.7341834306716919
1186,5,1,
1190,5,1,
1197,4,1,
1198,8,1,
1199,4,1,
1203,31,6,0.9084659218788147
1205,6,1,
1213,9,2,1.0
1215,12,1,
1216,40,1,
1227,13,1,
1232,4,1,
1233,5,1,
1234,15,1,
1238,17,4,0.8157269358634949
1241,70,11,0.757451593875885
1242,7,2,0.9999998807907104
1243,4,1,
1249,11,2,0.8938945531845093
1254,5,1,
