ProductId,Autotuned,n,VariantsFound,VariantSilhouette,Notes
322,False,1,1,,skipped_small_product_cluster
323,False,1,1,,skipped_small_product_cluster
324,False,1,1,,skipped_small_product_cluster
325,False,1,1,,skipped_small_product_cluster
326,False,2,1,,skipped_small_product_cluster
327,False,1,1,,skipped_small_product_cluster
328,False,1,1,,skipped_small_product_cluster
329,False,1,1,,skipped_small_product_cluster
330,False,1,1,,skipped_small_product_cluster
331,False,1,1,,skipped_small_product_cluster
332,False,1,1,,skipped_small_product_cluster
333,False,3,1,,skipped_small_product_cluster
334,False,1,1,,skipped_small_product_cluster
335,False,1,1,,skipped_small_product_cluster
336,False,1,1,,skipped_small_product_cluster
337,False,1,1,,skipped_small_product_cluster
338,False,1,1,,skipped_small_product_cluster
339,False,1,1,,skipped_small_product_cluster
340,False,1,1,,skipped_small_product_cluster
341,False,1,1,,skipped_small_product_cluster
342,False,1,1,,skipped_small_product_cluster
343,False,1,1,,skipped_small_product_cluster
344,False,1,1,,skipped_small_product_cluster
345,False,1,1,,skipped_small_product_cluster
346,False,1,1,,skipped_small_product_cluster
347,False,1,1,,skipped_small_product_cluster
348,False,3,1,,skipped_small_product_cluster
350,False,1,1,,skipped_small_product_cluster
352,False,1,1,,skipped_small_product_cluster
353,False,1,1,,skipped_small_product_cluster
354,False,1,1,,skipped_small_product_cluster
355,False,1,1,,skipped_small_product_cluster
356,False,1,1,,skipped_small_product_cluster
357,False,1,1,,skipped_small_product_cluster
358,False,1,1,,skipped_small_product_cluster
359,False,1,1,,skipped_small_product_cluster
360,False,1,1,,skipped_small_product_cluster
361,False,1,1,,skipped_small_product_cluster
362,False,2,1,,skipped_small_product_cluster
363,False,1,1,,skipped_small_product_cluster
364,False,2,1,,skipped_small_product_cluster
365,False,1,1,,skipped_small_product_cluster
366,False,1,1,,skipped_small_product_cluster
367,False,1,1,,skipped_small_product_cluster
368,False,1,1,,skipped_small_product_cluster
369,False,2,1,,skipped_small_product_cluster
370,False,1,1,,skipped_small_product_cluster
371,False,1,1,,skipped_small_product_cluster
372,False,1,1,,skipped_small_product_cluster
373,False,2,1,,skipped_small_product_cluster
374,False,2,1,,skipped_small_product_cluster
375,False,3,1,,skipped_small_product_cluster
376,False,1,1,,skipped_small_product_cluster
377,False,1,1,,skipped_small_product_cluster
378,False,1,1,,skipped_small_product_cluster
379,False,1,1,,skipped_small_product_cluster
380,False,1,1,,skipped_small_product_cluster
381,False,1,1,,skipped_small_product_cluster
382,False,1,1,,skipped_small_product_cluster
383,False,1,1,,skipped_small_product_cluster
384,False,1,1,,skipped_small_product_cluster
385,False,1,1,,skipped_small_product_cluster
386,False,2,1,,skipped_small_product_cluster
387,False,2,1,,skipped_small_product_cluster
388,False,1,1,,skipped_small_product_cluster
389,False,1,1,,skipped_small_product_cluster
390,False,1,1,,skipped_small_product_cluster
391,False,1,1,,skipped_small_product_cluster
392,False,1,1,,skipped_small_product_cluster
393,False,2,1,,skipped_small_product_cluster
394,False,1,1,,skipped_small_product_cluster
395,False,1,1,,skipped_small_product_cluster
396,False,1,1,,skipped_small_product_cluster
397,False,1,1,,skipped_small_product_cluster
398,False,1,1,,skipped_small_product_cluster
399,False,1,1,,skipped_small_product_cluster
400,False,1,1,,skipped_small_product_cluster
402,False,1,1,,skipped_small_product_cluster
403,False,1,1,,skipped_small_product_cluster
404,False,1,1,,skipped_small_product_cluster
405,False,1,1,,skipped_small_product_cluster
406,False,1,1,,skipped_small_product_cluster
407,False,1,1,,skipped_small_product_cluster
408,False,1,1,,skipped_small_product_cluster
409,False,1,1,,skipped_small_product_cluster
410,False,2,1,,skipped_small_product_cluster
411,False,2,1,,skipped_small_product_cluster
412,False,1,1,,skipped_small_product_cluster
413,False,1,1,,skipped_small_product_cluster
414,False,1,1,,skipped_small_product_cluster
415,False,1,1,,skipped_small_product_cluster
416,False,1,1,,skipped_small_product_cluster
417,False,2,1,,skipped_small_product_cluster
418,False,1,1,,skipped_small_product_cluster
419,False,1,1,,skipped_small_product_cluster
420,False,1,1,,skipped_small_product_cluster
421,False,1,1,,skipped_small_product_cluster
422,False,1,1,,skipped_small_product_cluster
423,False,1,1,,skipped_small_product_cluster
424,False,1,1,,skipped_small_product_cluster
425,False,1,1,,skipped_small_product_cluster
426,False,1,1,,skipped_small_product_cluster
427,False,1,1,,skipped_small_product_cluster
428,False,1,1,,skipped_small_product_cluster
429,False,1,1,,skipped_small_product_cluster
430,False,1,1,,skipped_small_product_cluster
431,False,1,1,,skipped_small_product_cluster
