ProductId,VariantId,VariantLocal,VariantCount,VariantTextTop,PriceMedian,PriceMin,PriceMax,VariantThreshold,CoreFrac,PriceWeight
343,388,0,1,,53.2,53.2,53.2,0.33,0.7,0.5
345,390,0,1,,53.2,53.2,53.2,0.33,0.7,0.5
346,391,0,1,,53.2,53.2,53.2,0.33,0.7,0.5
349,395,1,1,biohazard neu ovp versiegelt pegi version,53.2,53.2,53.2,0.33,0.7,0.5
349,396,2,1,blister sous boitier fors neuf,53.2,53.2,53.2,0.33,0.7,0.5
359,409,0,1,,53.2,53.2,53.2,0.33,0.7,0.5
367,417,0,1,,53.2,53.2,53.2,0.33,0.7,0.5
376,426,0,1,,53.2,53.2,53.2,0.33,0.7,0.5
388,438,0,1,,53.2,53.2,53.2,0.33,0.7,0.5
389,439,0,1,,53.2,53.2,53.2,0.33,0.7,0.5
392,442,0,1,,53.2,53.2,53.2,0.33,0.7,0.5
398,448,0,1,,53.2,53.2,53.2,0.33,0.7,0.5
414,466,0,1,,53.2,53.2,53.2,0.33,0.7,0.5
419,471,0,1,,53.2,53.2,53.2,0.33,0.7,0.5
421,473,0,1,,53.2,53.2,53.2,0.33,0.7,0.5
434,486,0,1,,53.2,53.2,53.2,0.33,0.7,0.5
474,526,0,1,,53.2,53.2,53.2,0.33,0.7,0.5
492,545,0,1,,53.2,53.2,53.2,0.33,0.7,0.5
514,568,0,1,,53.2,53.2,53.2,0.33,0.7,0.5
547,606,0,1,,53.2,53.2,53.2,0.33,0.7,0.5
551,610,0,1,,53.2,53.2,53.2,0.33,0.7,0.5
567,626,0,1,,53.2,53.2,53.2,0.33,0.7,0.5
571,630,0,1,,53.2,53.2,53.2,0.33,0.7,0.5
574,633,0,1,,53.2,53.2,53.2,0.33,0.7,0.5
579,638,0,1,,53.2,53.2,53.2,0.33,0.7,0.5
591,650,0,1,,53.2,53.2,53.2,0.33,0.7,0.5
593,652,0,1,,53.2,53.2,53.2,0.33,0.7,0.5
637,696,0,1,,53.2,53.2,53.2,0.33,0.7,0.5
650,711,0,1,,53.2,53.2,53.2,0.33,0.7,0.5
678,749,3,1,ps4 ps5,53.2,53.2,53.2,0.33,0.7,0.5
686,757,0,1,,53.2,53.2,53.2,0.33,0.7,0.5
687,758,0,1,,53.2,53.2,53.2,0.33,0.7,0.5
693,764,0,1,,53.2,53.2,53.2,0.33,0.7,0.5
701,772,0,1,,53.2,53.2,53.2,0.33,0.7,0.5
415,467,0,1,,55.3,55.3,55.3,0.33,0.7,0.5
696,767,0,1,,55.3,55.3,55.3,0.33,0.7,0.5
102,125,3,1,origins collector jeu non inclus,56.35,56.35,56.35,0.33,0.7,0.5
365,415,0,1,,56.35,56.35,56.35,0.33,0.7,0.5
33,35,0,1,,58.45,58.45,58.45,0.33,0.7,0.5
43,45,0,1,,58.45,58.45,58.45,0.33,0.7,0.5
49,57,2,1,volant,58.45,58.45,58.45,0.33,0.7,0.5
85,100,0,1,,58.45,58.45,58.45,0.33,0.7,0.5
100,120,0,1,,58.45,58.45,58.45,0.33,0.7,0.5
118,141,0,1,,58.45,58.45,58.45,0.33,0.7,0.5
184,211,0,1,,58.45,58.45,58.45,0.33,0.7,0.5
186,213,0,1,,58.45,58.45,58.45,0.33,0.7,0.5
230,261,0,1,,58.45,58.45,58.45,0.33,0.7,0.5
440,492,0,1,,58.45,58.45,58.45,0.33,0.7,0.5
476,528,0,1,,58.45,58.45,58.45,0.33,0.7,0.5
589,648,0,1,,58.45,58.45,58.45,0.33,0.7,0.5
668,734,0,1,,58.45,58.45,58.45,0.33,0.7,0.5
267,307,2,1,playstation,59.49,59.49,59.49,0.33,0.7,0.5
183,210,0,1,,61.6,61.6,61.6,0.33,0.7,0.5
700,771,0,1,,62.13,62.13,62.13,0.33,0.7,0.5
109,132,0,1,,63.6,63.6,63.6,0.33,0.7,0.5
325,370,0,1,,63.65,63.65,63.65,0.33,0.7,0.5
377,427,0,1,,63.65,63.65,63.65,0.33,0.7,0.5
105,128,0,1,,63.69,63.69,63.69,0.33,0.7,0.5
169,196,0,1,,63.69,63.69,63.69,0.33,0.7,0.5
260,296,0,1,,63.69,63.69,63.69,0.33,0.7,0.5
407,459,0,1,,63.69,63.69,63.69,0.33,0.7,0.5
17,17,0,1,,63.7,63.7,63.7,0.33,0.7,0.5
24,24,0,1,,63.7,63.7,63.7,0.33,0.7,0.5
40,42,0,1,,63.7,63.7,63.7,0.33,0.7,0.5
52,67,0,1,,63.7,63.7,63.7,0.33,0.7,0.5
70,85,0,1,,63.7,63.7,63.7,0.33,0.7,0.5
88,105,2,1,jeux ps fc,63.7,63.7,63.7,0.33,0.7,0.5
122,147,0,1,,63.7,63.7,63.7,0.33,0.7,0.5
159,184,0,1,,63.7,63.7,63.7,0.33,0.7,0.5
174,201,0,1,,63.7,63.7,63.7,0.33,0.7,0.5
192,219,0,1,,63.7,63.7,63.7,0.33,0.7,0.5
217,248,0,1,,63.7,63.7,63.7,0.33,0.7,0.5
243,279,0,1,,63.7,63.7,63.7,0.33,0.7,0.5
253,289,0,1,,63.7,63.7,63.7,0.33,0.7,0.5
285,328,0,1,,63.7,63.7,63.7,0.33,0.7,0.5
295,340,0,1,,63.7,63.7,63.7,0.33,0.7,0.5
316,361,0,1,,63.7,63.7,63.7,0.33,0.7,0.5
327,372,0,1,,63.7,63.7,63.7,0.33,0.7,0.5
342,387,0,1,,63.7,63.7,63.7,0.33,0.7,0.5
363,413,0,1,,63.7,63.7,63.7,0.33,0.7,0.5
394,444,0,1,,63.7,63.7,63.7,0.33,0.7,0.5
423,475,0,1,,63.7,63.7,63.7,0.33,0.7,0.5
